seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,1000,0.65,complete,0.1,0.0458052,0.0102234,0.189777,1.23808,-1.13808,false,false,scipy_anchored_t2,true,3.35591e-07,,0.0138369,1,1,0,2,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_0/metrics.json
0,1000,0.65,ws_p_0.0,0.453673,0.0045753,0.444706,0.462641,1.23808,-0.784405,false,false,scipy_anchored_t2,true,0.00151106,0.999481,0.0549491,1,1,0,12.793,1,1,0,1,n_1000/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_0/metrics.json
0,1000,0.65,ws_p_0.1,0.436882,0.00364969,0.429728,0.444035,1.23808,-0.801197,false,false,scipy_anchored_t2,true,0.00136015,0.999341,0.0554044,1,1,0,13.958,1,1,0,1,n_1000/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_0/metrics.json
1,1000,0.65,complete,2.66115,0.148725,2.36966,2.95265,1.23808,1.42307,true,false,scipy_anchored_t2,true,2.7153e-06,0.995015,0.197617,1,1,0,2.002,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_1/metrics.json
1,1000,0.65,ws_p_0.0,0.434588,0.00620768,0.422421,0.446754,1.23808,-0.803491,false,false,scipy_anchored_t2,true,0.00205173,0.999165,0.0946963,1,1,0,12.983,1,1,0,1,n_1000/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_1/metrics.json
1,1000,0.65,ws_p_0.1,0.408546,0.0016702,0.405273,0.41182,1.23808,-0.829532,false,false,scipy_anchored_t2,true,0.000671313,0.999837,0.078659,1,1,0,15.429,1,1,0,1,n_1000/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_1/metrics.json
2,1000,0.65,complete,2.66254,0.148726,2.37104,2.95404,1.23808,1.42446,true,false,scipy_anchored_t2,true,2.75141e-06,0.995029,0.0150366,1,1,0,2.002,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_2/metrics.json
2,1000,0.65,ws_p_0.0,0.437169,0.00560451,0.426185,0.448154,1.23808,-0.800909,false,false,scipy_anchored_t2,true,0.00189731,0.999203,0.0591319,1,1,0,13.15,1,1,0,1,n_1000/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_2/metrics.json
2,1000,0.65,ws_p_0.1,0.402618,0.00244253,0.397831,0.407406,1.23808,-0.83546,false,false,scipy_anchored_t2,true,0.000975523,0.999712,0.0668462,1,1,0,15.339,1,1,0,1,n_1000/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_2/metrics.json
3,1000,0.65,complete,0.1,0.0458052,0.0102234,0.189777,1.23808,-1.13808,false,false,scipy_anchored_t2,true,3.35591e-07,,0.0133403,1,1,0,2,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_3/metrics.json
3,1000,0.65,ws_p_0.0,0.434751,0.00511099,0.424734,0.444769,1.23808,-0.803327,false,false,scipy_anchored_t2,true,0.00172118,0.99933,0.0411005,1,1,0,12.902,1,1,0,1,n_1000/ws_p_0.0_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_3/metrics.json
3,1000,0.65,ws_p_0.1,0.426317,0.00431149,0.417867,0.434768,1.23808,-0.811761,false,false,scipy_anchored_t2,true,0.00152832,0.999401,0.0448766,1,1,0,14.733,1,1,0,1,n_1000/ws_p_0.1_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_3/metrics.json
4,1000,0.65,complete,0.1,0.0458052,0.0102234,0.189777,1.23808,-1.13808,false,false,scipy_anchored_t2,true,3.35591e-07,,0.014319,1,1,0,2,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_4/metrics.json
4,1000,0.65,ws_p_0.0,0.431051,0.00397619,0.423258,0.438844,1.23808,-0.807028,false,false,scipy_anchored_t2,true,0.00147053,0.999379,2.88099,1,1,0,13.3,1,1,0,1,n_1000/ws_p_0.0_seed_4,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_4/metrics.json
4,1000,0.65,ws_p_0.1,0.435602,0.00320975,0.429311,0.441893,1.23808,-0.802476,false,false,scipy_anchored_t2,true,0.00112297,0.999709,0.686299,1,1,0,14.08,1,1,0,1,n_1000/ws_p_0.1_seed_4,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p65/seed_4/metrics.json
